_from,to,category,score,normalized_score
aclarar,guerrero,politic,1,0.017859734329195735
aclarar,objetivo,politic,1,0.017859734329195735
aclarar,persona,tech,2,0.010201416118541534
aclarar,piero,tech,2,0.010201416118541534
aclarar,plata,politic,3,0.07398203522467027
aclarar,politica,politic,2,0.045920884776933006
aclarar,simpatia,politic,3,0.07398203522467027
aclarar,socialismo,politic,3,0.07398203522467027
aclarar,unico,politic,2,0.045920884776933006
acnur,colombia,politic,3,0.07398203522467027
acnur,consultoria,politic,3,0.07398203522467027
acnur,derechos,politic,2,0.045920884776933006
acnur,humanos,politic,1,0.017859734329195735
acogida,epoca,tech,3,0.020402832237083064
acogida,equipo,tech,1,0.0
acogida,galaxy,tech,2,0.010201416118541534
acogida,s,tech,1,0.0
acogida,serie,tech,3,0.020402832237083064
acogida,shooter,tech,2,0.010201416118541534
acompanamiento,acceso,tech,3,0.020402832237083064
acompanamiento,celular,tech,1,0.0
acompanamiento,telefono,tech,2,0.010201416118541534
acompanant,delegacion,politic,2,0.045920884776933006
acompanant,gobierno,politic,1,0.017859734329195735
acompanant,senalar,politic,3,0.07398203522467027
acompanar,mensaje,politic,3,0.07398203522467027
acompanar,ministerio,politic,1,0.017859734329195735
acompanar,trino,politic,2,0.045920884776933006
acompanir,analicen,tech,1,0.0
acompanir,piloto,tech,2,0.010201416118541534
acompanir,uncoli,tech,3,0.020402832237083064
acordado,dialogo,politic,1,0.017859734329195735
acordado,ronda,politic,2,0.045920884776933006
acordado,sexto,politic,3,0.07398203522467027
acordar,gobierno,politic,3,0.07398203522467027
acordar,retencion,politic,1,0.017859734329195735
acordar,suspension,politic,2,0.045920884776933006
acoso,cibernetico,tech,3,0.020402832237083064
acoso,riesgo,tech,2,0.010201416118541534
acoso,significativo,tech,1,0.0
activar,apoyo,tech,2,0.010201416118541534
activar,gestion,tech,1,0.0
activar,monitoreo,tech,2,0.010201416118541534
activar,padre,tech,1,0.0
activar,ruta,tech,3,0.020402832237083064
activar,sistema,tech,3,0.020402832237083064
actividad,autorizado,tech,3,0.020402832237083064
actividad,celular,tech,2,0.010201416118541534
actividad,cuenta,tech,3,0.020402832237083064
actividad,detectar,tech,2,0.010201416118541534
actividad,estudio,tech,3,0.020402832237083064
actividad,interpretar,tech,2,0.010201416118541534
actividad,notificacion,tech,1,0.0
actividad,obligacion,tech,1,0.0
actividad,plataforma,tech,2,0.010201416118541534
actividad,recibirir,tech,2,0.010201416118541534
actividad,reciente,tech,3,0.020402832237083064
actividad,sospechoso,tech,3,0.020402832237083064
actividad,spam,tech,1,0.0
actividad,tarea,tech,1,0.0
actividad,usuario,tech,3,0.020402832237083064
acto,comentar,politic,1,0.017859734329195735
acto,crueldad,politic,3,0.07398203522467027
acto,memoria,politic,2,0.045920884776933006
actor,amenazar,politic,2,0.045920884776933006
actor,burlar,tech,2,0.010201416118541534
